Basque,Catalan,Dutch,Filipino,Finnish,French,German,Haitian Creole,Hindi,Indonesian,Italian,Lithuanian,Norwegian,Polish,Portuguese,Romanian,Spanish,Swedish,Turkish,Undefined,Vietnamese
2020-08-18,0,0,15,0,0,21,17,0,0,0,23,0,0,7,11,1,0,0,0,0,0
2020-08-19,0,0,12,0,2,14,17,0,0,0,15,0,0,3,9,0,0,0,0,0,0
2020-08-20,0,0,17,0,3,33,15,0,0,0,9,1,0,4,7,0,0,0,0,0,0
2020-08-21,0,0,27,0,1,54,16,0,0,0,12,2,0,4,12,2,0,0,0,0,0
2020-08-22,0,0,16,0,0,24,7,0,0,0,8,0,0,2,7,2,1,0,0,0,0
2020-08-23,0,0,13,0,0,17,9,0,0,0,11,1,0,2,2,1,0,0,0,0,0
2020-08-24,0,0,9,0,0,27,9,0,0,1,12,1,0,5,27,1,1,0,0,0,0
2020-08-25,0,0,13,0,3,36,21,0,0,0,21,1,0,5,20,0,0,0,0,0,0
2020-08-26,0,0,6,0,2,27,18,0,0,0,10,1,0,4,4,0,0,0,0,0,0
2020-08-27,0,0,14,0,2,27,20,0,0,0,24,0,0,3,16,2,0,0,0,0,0
2020-08-28,0,0,4,0,2,31,10,1,0,0,17,0,0,9,13,1,0,0,0,0,0
2020-08-29,0,0,8,0,2,30,44,0,0,0,12,0,0,6,8,1,0,0,0,0,0
2020-08-30,0,0,31,0,1,226,29,0,0,0,15,2,0,5,11,0,0,0,0,0,0
2020-08-31,0,0,15,0,5,67,27,0,0,0,15,0,0,1,9,0,0,0,0,0,0
2020-09-01,0,0,19,0,2,48,23,0,0,0,16,2,0,3,9,1,0,0,0,0,0
2020-09-02,0,0,13,0,0,38,28,0,0,0,14,0,0,1,10,0,0,0,0,0,0
2020-09-03,0,0,19,0,1,45,22,0,0,0,7,1,0,1,8,0,1,0,0,0,0
2020-09-04,0,0,17,0,3,23,18,0,0,0,19,2,0,4,12,1,0,0,0,0,0
2020-09-05,0,0,8,0,3,19,16,0,0,0,16,0,0,2,8,1,0,0,0,0,0
2020-09-06,0,0,4,0,0,25,13,0,0,0,22,1,0,5,5,0,0,0,0,0,0
2020-09-07,0,0,13,0,0,46,8,0,0,0,18,0,0,7,8,1,0,0,0,0,0
2020-09-08,0,0,26,0,0,43,11,0,0,0,12,0,0,7,13,0,0,0,0,0,0
2020-09-09,0,0,22,0,0,49,12,0,0,0,12,1,0,1,10,0,0,0,0,0,0
2020-09-10,0,0,13,0,0,36,9,0,0,0,9,0,1,3,6,0,0,0,0,0,0
2020-09-11,0,0,11,0,2,36,13,0,0,0,20,2,0,2,9,0,0,0,0,0,0
2020-09-12,0,1,9,0,0,28,10,0,0,0,13,1,0,2,5,0,0,0,0,0,0
2020-09-13,0,0,14,0,0,33,15,0,0,0,10,1,0,3,4,1,0,0,0,0,0
2020-09-14,0,0,11,0,1,64,15,0,0,0,13,1,0,3,6,0,0,0,0,0,0
2020-09-15,0,0,8,0,2,146,14,0,0,0,8,1,0,1,9,0,0,0,0,0,0
2020-09-16,0,0,7,0,2,119,12,0,0,0,8,0,0,3,19,0,0,0,0,0,0
2020-09-17,0,0,14,0,3,53,15,0,0,0,23,0,0,1,10,1,0,0,0,0,0
2020-09-18,0,0,3,0,1,40,9,0,0,0,44,1,0,1,5,0,0,0,0,0,0
2020-09-19,0,0,6,0,3,39,8,0,0,0,16,0,0,3,6,0,0,0,0,0,0
2020-09-20,0,0,9,0,0,39,7,0,0,0,11,0,0,3,10,0,0,0,0,0,0
2020-09-21,0,0,10,0,3,46,11,0,0,0,10,2,0,4,21,2,0,0,0,0,0
2020-09-22,0,0,15,0,0,49,14,0,0,0,9,2,0,4,11,0,0,0,0,0,0
2020-09-23,0,0,6,0,0,49,5,0,0,0,11,0,0,0,9,1,0,0,0,0,0
2020-09-24,0,0,18,0,0,40,12,0,0,0,12,0,0,3,5,1,0,0,0,0,0
2020-09-25,0,0,16,0,0,42,11,0,0,0,4,0,0,21,10,0,0,0,0,0,0
2020-09-26,0,0,17,0,1,30,9,0,0,0,6,1,0,15,5,0,0,0,0,0,0
2020-09-27,0,0,10,0,4,29,2,0,0,0,3,0,0,4,3,0,0,0,0,0,0
2020-09-28,0,0,15,0,0,33,15,0,0,0,7,0,0,5,8,1,0,0,0,0,0
2020-09-29,0,0,9,0,1,57,14,0,0,0,8,0,0,4,4,0,1,0,0,0,0
2020-09-30,0,0,14,0,1,37,9,0,0,0,6,2,0,11,7,0,0,0,0,0,0
2020-10-01,0,0,16,0,0,33,18,0,0,0,10,3,0,3,5,0,0,0,0,0,0
2020-10-02,0,0,19,0,2,42,14,0,0,0,16,3,0,2,4,0,1,0,0,0,0
2020-10-03,0,0,9,0,0,16,10,0,0,0,8,0,0,8,5,0,0,0,0,0,0
2020-10-04,0,0,4,0,0,18,9,0,0,0,10,1,0,5,2,0,0,0,0,0,0
2020-10-05,0,0,11,0,1,22,7,0,0,0,11,0,0,1,5,0,2,0,0,0,0
2020-10-06,0,0,12,0,1,24,12,0,0,0,10,0,0,6,7,0,0,0,0,0,0
2020-10-07,0,0,9,0,0,29,14,0,0,1,24,0,0,2,7,0,0,0,0,0,0
2020-10-08,0,0,8,0,2,16,7,0,0,0,16,0,0,8,6,2,0,0,0,0,0
2020-10-09,0,0,8,0,3,20,14,0,0,0,8,1,0,7,5,0,0,0,0,0,0
2020-10-10,0,0,14,0,1,22,11,0,0,0,21,1,0,7,2,0,1,0,0,0,0
2020-10-11,0,0,10,0,0,26,4,0,0,0,14,0,0,8,9,0,0,0,0,0,0
2020-10-12,0,0,11,0,1,31,7,0,0,0,11,2,0,10,3,0,0,0,0,0,0
2020-10-13,0,0,15,0,2,26,21,0,0,1,18,8,0,13,24,1,0,0,0,0,0
2020-10-14,0,0,10,0,1,40,15,0,0,0,15,1,0,12,11,0,0,0,0,0,0
2020-10-15,0,0,52,0,1,28,29,0,0,0,15,0,0,3,7,0,0,0,0,0,0
2020-10-16,0,0,81,0,3,20,10,0,0,0,6,2,0,2,7,1,0,0,0,0,0
2020-10-17,0,0,24,0,1,11,12,0,0,0,8,2,0,2,6,1,0,0,0,0,0
2020-10-18,0,0,10,0,0,13,13,0,0,0,11,1,0,2,5,0,0,0,0,0,0
2020-10-19,0,0,28,0,1,18,17,0,0,0,12,0,0,6,14,1,0,0,0,0,0
2020-10-20,0,0,24,0,0,20,14,0,0,0,28,1,0,9,28,1,1,0,0,0,0
